Referencia;Cantidad con signo;Entradas;Salidas;Cantidad Abonada;Precio;Importe;Existencia;Precio medio;Valor del inventario oficial;Escalón de precio;Codigo Cliente;Codigo Factura;Codigo Pedido;Fecha Pedido;Hora Pedido;Fecha Factura;Serie Factura;Codigo Presupuesto;Codigo Comercial;Empresa Emisora;Pedido Web;Referencia Proveedor;Referencia Fabricante;Codigo Tarifa;Nombre Tarifa;Su Num Pedido
PHR 6312;-1;0;1;0;34.8300;34.8300;0;24.4730;0.0000;3;57160;04-M/21-00862;01/04-M/21-00962;5-11-2021;12:43:30;5-11-2021;18;;527;4;No;;;8;NPVM;PED2021A1545C
PH 9210;-4;0;4;0;150.9000;603.6000;0;109.2697;0.0000;3;57160;04-M/21-00862;01/04-M/21-00962;5-11-2021;12:43:30;5-11-2021;18;;527;4;No;1PE-C001401-00G;FRIGATE 1000VA/800W;8;NPVM;PED2021A1545C
PH 9273;-1;0;1;1;1984.2600;1984.2600;0;1062.9682;0.0000;3;57160;04-M/21-00844;01/04-M/21-00941;29-10-2021;9:11:29;29-10-2021;18;;527;4;No;GALLEON II 3/3-10K;;8;NPVM;PED2021A23820
PH 9406;-30;0;30;0;23.9000;717.0000;0;16.4696;0.0000;3;57160;04-M/21-00843;01/04-M/21-00940;29-10-2021;9:10:27;29-10-2021;18;;527;4;No;P6B(APEX 600);APEX 600;8;NPVM;PED2021A1495C
PHC 2107;-2;0;2;0;46.2600;92.5200;2;32.1161;64.2322;3;57160;04-M/21-00843;01/04-M/21-00940;29-10-2021;9:10:27;29-10-2021;18;;527;4;No;FORM SH-7U;;8;NPVM;PED2021A1495C
PHR 6302;-50;0;50;0;29.4600;1473.0000;29;19.4872;565.1288;3;57160;04-M/21-00821;01/04-M/21-00915;20-10-2021;9:10:02;20-10-2021;18;;527;4;No;;;8;NPVM;PED2021A1392C
PHR 6312;-10;0;10;0;34.8300;348.3000;23;24.4730;562.8790;3;57160;04-M/21-00821;01/04-M/21-00915;20-10-2021;9:10:02;20-10-2021;18;;527;4;No;;;8;NPVM;PED2021A1392C
PH 7315;-2;0;2;0;69.8300;139.6600;95;55.3253;5255.9035;3;57160;04-M/21-00821;01/04-M/21-00915;20-10-2021;9:10:02;20-10-2021;18;;527;4;No;1PE-C001027-00G;;8;NPVM;PED2021A1392C
YUA 107;-10;0;10;0;12.5200;125.2000;327;10.4101;3404.1027;3;57160;04-M/21-00821;01/04-M/21-00915;20-10-2021;9:10:02;20-10-2021;18;;527;4;No;NP7-12L;;8;NPVM;PED2021A1392C
PH 9408;-20;0;20;0;29.5900;591.8000;0;21.9556;0.0000;3;57160;04-M/21-00799;01/04-M/21-00888;6-10-2021;10:14:24;6-10-2021;18;;527;4;No;P8B(APEX 800);APEX 800;8;NPVM;PED2021A1359C
RF 2007;-30;0;30;0;3.4100;102.3000;0;2.4289;0.0000;3;57160;04-M/21-00799;01/04-M/21-00888;6-10-2021;10:14:24;6-10-2021;18;;527;4;No;#00489;;8;NPVM;PED2021A1359C
PH 9260;-1;0;1;0;817.5100;817.5100;0;572.7653;0.0000;3;57160;04-M/21-00794;01/04-M/21-00881;4-10-2021;10:26:25;4-10-2021;18;;527;4;No;P6T - WINNER PRO+ 6K;;8;NPVM;PED2021A21612
PH 9465;-6;0;6;0;35.5800;213.4800;0;28.1929;0.0000;3;57160;04-M/21-00779;01/04-M/21-00863;28-09-2021;8:28:48;28-09-2021;18;;527;4;No;P6N;VESTA 650 LCD;8;NPVM;PED2021A1359C
