Serie, ejercicio y nº factura;Fecha;Base general;Beneficio;Total factura
02-N/13-15971;2013-12-30;15.60;12.26;18.68
02-N/13-15837;2013-12-20;120.69;47.10;144.57
02-N/13-15590;2013-12-16;595.12;147.60;712.90
02-N/13-15496;2013-12-12;230.88;34.09;276.57
02-N/13-15361;2013-12-10;284.30;44.53;340.57
02-N/13-15013;2013-12-02;-24.35;-24.35;-29.46
02-N/13-15011;2013-11-29;177.69;66.43;212.85
02-N/13-14992;2013-11-29;193.60;24.61;231.91
02-N/13-14991;2013-11-29;25.18;15.17;30.17
02-N/13-14824;2013-11-26;121.20;47.83;145.19
02-N/13-14770;2013-11-25;150.35;33.50;180.11
02-N/13-14692;2013-11-22;211.50;31.66;253.36
02-N/13-14525;2013-11-19;313.20;121.00;375.18
02-N/13-14449;2013-11-18;340.37;113.20;407.73
02-N/13-14404;2013-11-18;220.00;45.40;263.54
02-N/13-14288;2013-11-13;518.34;161.00;620.92
02-N/13-14059;2013-11-08;387.00;72.25;463.59
02-N/13-13744;2013-10-31;270.10;86.23;323.55
02-N/13-13623;2013-10-29;163.76;58.12;196.17
02-N/13-13309;2013-10-22;603.40;212.60;722.82
02-N/13-12903;2013-10-14;224.07;61.10;268.41
02-N/13-12825;2013-10-11;380.88;92.24;456.25
02-N/13-12694;2013-10-09;101.90;39.93;122.06
02-N/13-12561;2013-10-07;119.36;39.61;142.99
02-N/13-11908;2013-09-24;354.90;90.63;425.13
02-N/13-11869;2013-09-23;105.18;34.91;126.00
02-N/13-11747;2013-09-19;107.72;12.33;129.03
02-N/13-11387;2013-09-13;236.56;65.87;283.37
02-N/13-11262;2013-09-10;153.00;38.84;183.28
02-N/13-10908;2013-09-02;269.65;95.72;323.01
02-N/13-10812;2013-08-29;261.28;65.72;312.99
02-N/13-10770;2013-08-28;165.60;38.68;198.37
02-N/13-10354;2013-08-12;76.38;39.32;91.50
02-N/13-10250;2013-08-07;219.48;67.16;262.92
02-N/13-10218;2013-08-06;172.80;97.96;206.99
02-N/13-10115;2013-08-02;154.15;39.28;184.66
02-N/13-09716;2013-07-23;57.17;21.49;68.49
02-N/13-09558;2013-07-18;217.30;40.91;260.31
02-N/13-09175;2013-07-10;369.76;104.65;442.93
02-N/13-08733;2013-06-28;127.65;54.32;152.91
02-N/13-08686;2013-06-27;203.95;45.08;244.31
02-N/13-08406;2013-06-20;210.68;70.85;252.37
02-N/13-08273;2013-06-18;85.80;52.99;102.78
02-N/13-08101;2013-06-13;173.15;37.88;207.42
02-N/13-07953;2013-06-11;250.81;79.08;300.44
02-N/13-07761;2013-06-06;159.55;45.61;191.12
02-N/13-07438;2013-05-30;112.30;36.65;134.53
02-N/13-07137;2013-05-24;94.60;32.69;113.32
02-N/13-07088;2013-05-23;312.18;75.53;373.96
02-N/13-06928;2013-05-21;56.00;31.32;67.08
02-N/13-06885;2013-05-21;204.50;122.07;244.98
02-N/13-06580;2013-05-14;220.54;74.66;264.18
02-N/13-06535;2013-05-13;152.50;72.41;182.69
02-N/13-06331;2013-05-08;288.05;54.82;345.06
02-N/13-06268;2013-05-07;235.10;108.58;281.63
02-N/13-06074;2013-05-03;-27.52;-16.67;-33.30
02-N/13-05894;2013-04-26;170.40;56.61;204.13
02-N/13-05600;2013-04-22;59.70;27.21;71.51
02-N/13-05542;2013-04-19;165.91;49.35;198.74
02-N/13-05206;2013-04-15;210.55;55.73;252.21
02-N/13-04986;2013-04-10;299.27;107.38;358.50
02-N/13-04410;2013-03-26;205.45;74.28;246.11
02-N/13-04076;2013-03-19;215.91;74.84;258.64
02-N/13-03944;2013-03-15;305.04;144.97;365.41
02-N/13-03745;2013-03-12;28.88;17.83;34.59
02-N/13-03591;2013-03-08;408.80;86.96;489.70
02-N/13-03273;2013-03-04;206.69;58.83;247.59
02-N/13-03074;2013-02-27;353.22;164.70;423.12
02-N/13-02685;2013-02-20;294.89;144.16;353.25
02-N/13-02619;2013-02-19;291.20;110.89;348.83
02-N/13-02426;2013-02-14;111.96;26.94;134.12
02-N/13-02043;2013-02-07;122.60;77.63;146.86
02-N/13-01861;2013-02-05;312.60;145.26;374.46
02-N/13-01660;2013-01-31;162.20;59.91;194.30
02-N/13-01572;2013-01-30;209.44;115.64;250.89
02-N/13-01479;2013-01-29;111.50;47.51;133.57
02-N/13-01167;2013-01-23;204.34;58.33;244.78
02-N/13-00846;2013-01-17;44.60;20.21;53.42
02-N/13-00555;2013-01-14;307.79;173.56;368.70
02-N/13-00491;2013-01-11;210.05;44.52;251.62
02-N/13-00245;2013-01-08;216.95;78.03;259.88
02-N/13-00142;2013-01-04;244.45;73.61;292.83
02-N/12-18843;2012-12-21;104.25;23.79;124.88
02-N/12-18645;2012-12-18;210.95;76.43;252.70
02-N/12-18219;2012-12-11;203.75;61.77;244.07
02-N/12-17818;2012-12-04;314.70;102.16;376.98
02-N/12-17359;2012-11-23;144.60;43.75;173.21
02-N/12-17023;2012-11-20;-155.93;-79.08;-188.68
02-N/12-16771;2012-11-14;161.63;95.31;193.61
02-N/12-16620;2012-11-12;208.96;66.66;250.31
02-N/12-16481;2012-11-09;58.58;30.16;70.17
02-N/12-16171;2012-11-05;235.90;116.64;282.58
02-N/12-15678;2012-10-24;215.20;85.48;257.79
02-N/12-15487;2012-10-22;104.12;62.53;124.73
02-N/12-15081;2012-10-15;203.20;60.45;243.42
02-N/12-14805;2012-10-09;136.37;36.30;163.36
02-N/12-14694;2012-10-08;464.85;194.60;556.84
02-N/12-14547;2012-10-04;355.47;122.84;425.82
02-N/12-14404;2012-10-02;215.49;86.87;258.14
02-N/12-14196;2012-09-27;47.55;30.83;56.95
02-N/12-13932;2012-09-24;272.00;79.91;325.83
02-N/12-13593;2012-09-17;585.17;292.24;700.98
